year,total,asia,afghanistan,united_arab_emirates,myanmar,bahrain,bhutan,bangladesh,brunei,cambodia,sri_lanka,china,taiwan,china_hong_kong,china_other,cyprus,timor_leste,india,indonesia,iran,iraq,israel,jordan,south_korea,north_korea,kuwait,laos,lebanon,malaysia,mongolia,oman,maldives,nepal,pakistan,philippines,qatar,saudi_arabia,syria,singapore,thailand,turkey,vietnam,yemen,europe,albania,austria,belgium,bulgaria,belarus,croatia,czechoslovakia,czechia,denmark,estonia,finland,france,germany,greece,hungary,iceland,ireland,italy,kyrgyzstan,kazakhstan,liechtenstein,luxembourg,latvia,lithuania,monaco,malta,moldova,north_macedonia,netherlands,norway,poland,portugal,romania,russia,san_marino,spain,sweden,switzerland,turkmenistan,tajikistan,united_kingdom,united_kingdom_hong_kong,ukraine,uzbekistan,vatican_city,yugoslavia,armenia,azerbaijan,andorra,georgia_country,slovenia,slovakia,bosnia_and_herzegovina,serbia_and_montenegro,africa,algeria,burundi,botswana,cameroon,central_african_republic,chad,republic_of_the_congo,democratic_republic_of_the_congo,cape_verde,comoros,benin,djibouti,ethiopia,equatorial_guinea,eritrea,gabon,ghana,guinea,gambia,guinea_bissau,cote_d_ivoire,kenya,liberia,libya,lesotho,madagascar,mali,mauritania,morocco,malawi,mauritius,mozambique,niger,nigeria,namibia,rwanda,senegal,sierra_leone,somalia,sudan,eswatini,sao_tome_and_principe,seychelles,tanzania,togo,tunisia,uganda,south_africa,egypt,burkina_faso,zambia,zimbabwe,angola,north_america,barbados,bahamas,belize,canada,costa_rica,cuba,dominican_republic,dominica,el_salvador,guatemala,haiti,honduras,jamaica,mexico,nicaragua,panama,saint_lucia,saint_vincent,saint_kitts_and_nevis,trinidad_and_tobago,united_states,grenada,antigua_and_barbuda,south_america,argentina,bolivia,brazil,chile,colombia,ecuador,guyana,paraguay,peru,suriname,uruguay,venezuela,oceania,australia,fiji,kiribati,marshall_islands,micronesia,new_zealand,nauru,papua_new_guinea,palau,solomon_islands,tonga,tuvalu,vanuatu,samoa,stateless,unknown_other
1950 ,18046 ,4135 ,,,36 ,,1 ,,,,18 ,2095 ,5 ,,,,,343 ,18 ,4 ,11 ,3 ,,825 ,,,,7 ,1 ,,,,,31 ,536 ,,,12 ,,150 ,21 ,18 ,,3606 ,,2 ,51 ,,,,5 ,,231 ,2 ,7 ,501 ,103 ,32 ,4 ,,47 ,100 ,,,,1 ,2 ,2 ,,,,,144 ,148 ,32 ,92 ,,172 ,,65 ,114 ,76 ,,,1669 ,,,,1 ,3 ,,,,,,,,,35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22 ,13 ,,,,,9853 ,,,,314 ,4 ,4 ,,,2 ,,,,,13 ,1 ,,,,,,9515 ,,,102 ,22 ,1 ,39 ,8 ,20 ,1 ,,2 ,5 ,,1 ,3 ,188 ,180 ,,,,,8 ,,,,,,,,,125 ,2 
1951 ,24268 ,7049 ,1 ,,25 ,,,,,8 ,9 ,3789 ,1 ,,,,,698 ,132 ,6 ,9 ,12 ,,1035 ,,,,2 ,1 ,,,,,107 ,868 ,,3 ,17 ,,213 ,36 ,75 ,2 ,5483 ,,,68 ,,,,,,204 ,2 ,12 ,558 ,205 ,193 ,6 ,,37 ,204 ,,,1 ,1 ,4 ,1 ,,1 ,,,256 ,268 ,18 ,138 ,4 ,122 ,,102 ,276 ,127 ,,,2667 ,,,,1 ,7 ,,,,,,,,,206 ,,,,,,,,,,,,,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172 ,31 ,,,,,10769 ,,,,330 ,2 ,8 ,,,4 ,3 ,,1 ,,55 ,,12 ,,,,,10354 ,,,371 ,21 ,15 ,300 ,4 ,4 ,7 ,,2 ,13 ,,4 ,1 ,218 ,209 ,,,,,7 ,,,2 ,,,,,,171 ,1 
1952 ,32262 ,8503 ,2 ,,88 ,2 ,,,,5 ,71 ,3958 ,2 ,,,,,792 ,231 ,18 ,6 ,42 ,1 ,1693 ,,1 ,2 ,6 ,7 ,,,,6 ,192 ,869 ,,1 ,11 ,,451 ,26 ,20 ,,6068 ,,25 ,184 ,,,1 ,5 ,,141 ,1 ,14 ,590 ,320 ,137 ,2 ,3 ,23 ,174 ,,,1 ,,,1 ,,,,,348 ,306 ,9 ,140 ,1 ,16 ,,113 ,422 ,153 ,,,2920 ,,,,,18 ,,,,,,,,,121 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,,,,,,,,113 ,6 ,,,,,16548 ,,,,538 ,3 ,14 ,6 ,,4 ,,,1 ,,24 ,3 ,14 ,,,,,15941 ,,,662 ,40 ,3 ,575 ,10 ,2 ,3 ,,1 ,21 ,,3 ,4 ,217 ,209 ,,,,,8 ,,,,,,,,,140 ,3 
1953 ,46857 ,13343 ,4 ,,103 ,,,,,16 ,39 ,5214 ,,,,,,1078 ,366 ,49 ,15 ,70 ,,3772 ,,5 ,,4 ,,,,,,210 ,1472 ,,1 ,25 ,,782 ,85 ,33 ,,8902 ,,32 ,520 ,,,,1 ,,260 ,,11 ,1049 ,487 ,138 ,4 ,3 ,60 ,261 ,,,1 ,1 ,,2 ,,,,,644 ,431 ,8 ,118 ,,5 ,,165 ,624 ,372 ,,,3692 ,,,,2 ,11 ,,,,,,,,,229 ,,,,,,,,,,,,,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,199 ,25 ,,,,,22799 ,,,,793 ,4 ,26 ,5 ,,1 ,2 ,2 ,6 ,,59 ,2 ,13 ,,,,,21886 ,,,745 ,64 ,,581 ,18 ,24 ,4 ,,,34 ,,2 ,18 ,676 ,585 ,,,,,91 ,,,,,,,,,159 ,4 
1954 ,47425 ,13317 ,5 ,,158 ,3 ,,,,28 ,91 ,5356 ,,,,,,971 ,409 ,77 ,7 ,130 ,,3073 ,,,3 ,17 ,7 ,,,,3 ,212 ,1584 ,,1 ,23 ,,962 ,102 ,93 ,2 ,8135 ,,22 ,85 ,,,,3 ,,234 ,,33 ,763 ,806 ,64 ,29 ,2 ,33 ,190 ,,,1 ,1 ,,,,,,,478 ,146 ,13 ,162 ,,71 ,,152 ,439 ,486 ,,,3918 ,,,,,4 ,,,,,,,,,146 ,,,,,,,,,,,,,1 ,,,,,,,,,,2 ,,,,,,,,,,,,,,,,,8 ,,,,,,,,106 ,29 ,,,,,24544 ,,,,1078 ,7 ,25 ,12 ,,6 ,2 ,1 ,2 ,,93 ,3 ,11 ,,,,,23304 ,,,621 ,134 ,7 ,372 ,21 ,26 ,3 ,,1 ,31 ,,7 ,19 ,480 ,461 ,,,,,19 ,,,,,,,,,182 ,
1955 ,55638 ,14533 ,9 ,,242 ,,,,,86 ,86 ,6449 ,,,,,,1292 ,533 ,72 ,12 ,113 ,2 ,1227 ,,2 ,3 ,18 ,4 ,,,,7 ,214 ,2476 ,,4 ,13 ,,1145 ,169 ,351 ,4 ,10305 ,,108 ,134 ,,,,9 ,,353 ,1 ,55 ,1318 ,942 ,365 ,4 ,1 ,80 ,279 ,,,1 ,,,1 ,,,,,527 ,177 ,3 ,172 ,2 ,42 ,,155 ,479 ,491 ,,,4589 ,,,,,17 ,,,,,,,,,220 ,,,,,,,,3 ,,,,,3 ,,,,,,,,,3 ,8 ,,,,,,,,,,,3 ,,,,,,,,,,,,,,163 ,37 ,,,,,29370 ,,,,1244 ,,38 ,5 ,,6 ,,,5 ,,142 ,4 ,18 ,,,,,27908 ,,,465 ,142 ,3 ,208 ,20 ,28 ,5 ,,,21 ,,12 ,26 ,579 ,536 ,,,,,43 ,,,,,,,,,166 ,
1956 ,66356 ,15320 ,16 ,,351 ,4 ,,,,97 ,139 ,5969 ,,,,,,1705 ,676 ,84 ,15 ,129 ,1 ,1140 ,,13 ,28 ,26 ,7 ,,,,31 ,208 ,2919 ,,5 ,25 ,,1038 ,153 ,539 ,2 ,13413 ,,144 ,120 ,,,,12 ,,376 ,,31 ,1209 ,1554 ,1291 ,4 ,5 ,65 ,401 ,,,,2 ,,,,,,,504 ,210 ,8 ,178 ,10 ,71 ,,181 ,438 ,485 ,,,6098 ,,,,3 ,13 ,,,,,,,,,281 ,,,,,,,,,,,,,28 ,,,,,,,,,,6 ,1 ,,,,,,,,,,3 ,,,,,,1 ,,,,,,,,217 ,25 ,,,,,35870 ,,,,1380 ,4 ,46 ,4 ,,5 ,10 ,,8 ,,223 ,6 ,34 ,,,,,34150 ,,,633 ,116 ,19 ,316 ,39 ,55 ,7 ,,1 ,32 ,,20 ,28 ,744 ,697 ,,,,,47 ,,,,,,,,,95 ,
1957 ,80361 ,20385 ,12 ,,604 ,2 ,6 ,,,136 ,144 ,7072 ,,,,,,1340 ,926 ,135 ,44 ,215 ,4 ,2887 ,,13 ,133 ,58 ,83 ,5 ,,,15 ,238 ,3653 ,,9 ,30 ,,1448 ,470 ,703 ,,15147 ,,133 ,179 ,2 ,,,54 ,,650 ,,46 ,1343 ,1711 ,1438 ,4 ,2 ,70 ,377 ,,,1 ,2 ,,,,,,,789 ,538 ,55 ,166 ,3 ,407 ,,221 ,541 ,741 ,,,5652 ,,1 ,,,21 ,,,,,,,,,454 ,,,,,,,,,,,,,26 ,,,,,,,,,,,,,,,,,,,,,3 ,,,,,,21 ,,,,1 ,,,,313 ,85 ,,,5 ,,41851 ,,,,1558 ,5 ,64 ,17 ,,16 ,10 ,4 ,14 ,2 ,244 ,4 ,35 ,,,,,39878 ,,,749 ,90 ,7 ,379 ,57 ,31 ,12 ,,6 ,62 ,,18 ,87 ,1581 ,1431 ,,,,,150 ,,,,,,,,,194 ,
1958 ,96514 ,22979 ,33 ,,670 ,4 ,3 ,,,208 ,187 ,6463 ,,,,,,1977 ,1311 ,350 ,29 ,232 ,7 ,3735 ,,10 ,200 ,35 ,334 ,4 ,,,38 ,344 ,3875 ,,24 ,31 ,,1447 ,867 ,560 ,1 ,15560 ,,192 ,175 ,4 ,,,75 ,,674 ,,56 ,1709 ,2049 ,454 ,8 ,6 ,66 ,544 ,,,3 ,1 ,,,,,,,923 ,504 ,39 ,209 ,5 ,561 ,1 ,212 ,781 ,934 ,,,5319 ,,,,8 ,48 ,,,,,,,,,458 ,,,,,,,,,,,,,6 ,,,,5 ,,,,,,3 ,,,,,,2 ,,,,,1 ,,,,,,4 ,,,,2 ,,1 ,1 ,325 ,108 ,,,,,54069 ,,,,2135 ,10 ,64 ,7 ,,17 ,35 ,5 ,11 ,,325 ,11 ,50 ,,,,,51399 ,,,968 ,198 ,18 ,396 ,65 ,75 ,13 ,,7 ,89 ,,24 ,83 ,2330 ,2083 ,,,,,247 ,,,,,,,,,150 ,
1959 ,118020 ,22129 ,34 ,,426 ,4 ,,,,215 ,252 ,6595 ,,,,,,2161 ,1267 ,221 ,16 ,269 ,15 ,2530 ,,23 ,96 ,62 ,354 ,4 ,,,38 ,284 ,4991 ,,20 ,,,1475 ,148 ,629 ,,18206 ,,376 ,224 ,2 ,,,303 ,,547 ,,64 ,2070 ,2218 ,152 ,4 ,1 ,66 ,793 ,,,1 ,6 ,,1 ,,,,,1772 ,405 ,40 ,200 ,7 ,444 ,,276 ,891 ,981 ,,,6262 ,,,,8 ,92 ,,,,,,,,,610 ,,,,,,,,,,,,,28 ,,,,10 ,,,,,,1 ,2 ,,,,,5 ,,,,,1 ,,,,,,9 ,,,,2 ,,5 ,1 ,425 ,121 ,,,,,72328 ,,,,2822 ,15 ,132 ,11 ,,21 ,34 ,2 ,4 ,,566 ,12 ,57 ,,,,,68652 ,,,1205 ,229 ,17 ,402 ,74 ,108 ,13 ,,9 ,90 ,,19 ,244 ,3436 ,2993 ,,,,,442 ,,,,,1 ,,,,106 ,
